dataset_id	method_id	dataset_orig_id	dataset_subtask	dataset_phase	dataset_source	dataset_geo_id	dataset_organism	dataset_num_cells	dataset_num_features_mod1	dataset_mod1_modality	dataset_num_batches	dataset_num_cell_types	dataset_num_features_mod2	dataset_mod2_modality	method_task	method_label	method_description	method_maintainer	method_num_authors	method_language	method_type	method_doi	metric_id	value
openproblems_bmmc_cite_phase1_JE	baseline_lmds	openproblems_bmmc_cite_phase1	ADT	phase1	openproblems	NA	human	43976	13953	GEX	6	46	134	ADT	joint_embedding	LMDS	Landmark MDS dimensionality reduction on the Spearman distance.	Robrecht Cannoodt	1	r	baseline	NA	ari	0.43571856773970846
openproblems_bmmc_cite_phase1_JE	baseline_mnn	openproblems_bmmc_cite_phase1	ADT	phase1	openproblems	NA	human	43976	13953	GEX	6	46	134	ADT	joint_embedding	MNN	Mutual nearest neighbors correction followed by PCA.	Robrecht Cannoodt	1	r	baseline	NA	ari	0.8101436796051428
openproblems_bmmc_cite_phase1_JE	baseline_pca	openproblems_bmmc_cite_phase1	ADT	phase1	openproblems	NA	human	43976	13953	GEX	6	46	134	ADT	joint_embedding	PCA	PCA dimensionality reduction.	Robrecht Cannoodt	1	r	baseline	NA	ari	0.3221271507283724
openproblems_bmmc_cite_phase1_JE	baseline_umap	openproblems_bmmc_cite_phase1	ADT	phase1	openproblems	NA	human	43976	13953	GEX	6	46	134	ADT	joint_embedding	UMAP	UMAP dimensionality reduction on the Euclidean distance.	Robrecht Cannoodt	1	r	baseline	NA	ari	0.3264723395315013
openproblems_bmmc_cite_phase1_JE	dummy_random	openproblems_bmmc_cite_phase1	ADT	phase1	openproblems	NA	human	43976	13953	GEX	6	46	134	ADT	joint_embedding	Normal Dist.	Generate a random embedding from a normal distribution.	Alex Tong	2	python	negative_control	NA	ari	7.404630844810835e-5
openproblems_bmmc_cite_phase1_JE	dummy_zeros	openproblems_bmmc_cite_phase1	ADT	phase1	openproblems	NA	human	43976	13953	GEX	6	46	134	ADT	joint_embedding	Zeros	Generate an embedding containing only zero values.	Alex Tong	2	python	negative_control	NA	ari	1.0382812681389882e-5
openproblems_bmmc_multiome_phase1_JE	baseline_lmds	openproblems_bmmc_multiome_phase1	ATAC	phase1	openproblems	NA	human	22463	13431	GEX	5	21	116490	ATAC	joint_embedding	LMDS	Landmark MDS dimensionality reduction on the Spearman distance.	Robrecht Cannoodt	1	r	baseline	NA	ari	0.39130587999033906
openproblems_bmmc_multiome_phase1_JE	baseline_mnn	openproblems_bmmc_multiome_phase1	ATAC	phase1	openproblems	NA	human	22463	13431	GEX	5	21	116490	ATAC	joint_embedding	MNN	Mutual nearest neighbors correction followed by PCA.	Robrecht Cannoodt	1	r	baseline	NA	ari	0.51930472275097594
openproblems_bmmc_multiome_phase1_JE	baseline_pca	openproblems_bmmc_multiome_phase1	ATAC	phase1	openproblems	NA	human	22463	13431	GEX	5	21	116490	ATAC	joint_embedding	PCA	PCA dimensionality reduction.	Robrecht Cannoodt	1	r	baseline	NA	ari	0.41971668518311345
openproblems_bmmc_multiome_phase1_JE	baseline_umap	openproblems_bmmc_multiome_phase1	ATAC	phase1	openproblems	NA	human	22463	13431	GEX	5	21	116490	ATAC	joint_embedding	UMAP	UMAP dimensionality reduction on the Euclidean distance.	Robrecht Cannoodt	1	r	baseline	NA	ari	0.4619077349020011
openproblems_bmmc_multiome_phase1_JE	dummy_random	openproblems_bmmc_multiome_phase1	ATAC	phase1	openproblems	NA	human	22463	13431	GEX	5	21	116490	ATAC	joint_embedding	Normal Dist.	Generate a random embedding from a normal distribution.	Alex Tong	2	python	negative_control	NA	ari	-3.17446444836144e-5
openproblems_bmmc_multiome_phase1_JE	dummy_zeros	openproblems_bmmc_multiome_phase1	ATAC	phase1	openproblems	NA	human	22463	13431	GEX	5	21	116490	ATAC	joint_embedding	Zeros	Generate an embedding containing only zero values.	Alex Tong	2	python	negative_control	NA	ari	-6.67291340029694e-6
openproblems_bmmc_cite_phase1_JE	baseline_lmds	openproblems_bmmc_cite_phase1	ADT	phase1	openproblems	NA	human	43976	13953	GEX	6	46	134	ADT	joint_embedding	LMDS	Landmark MDS dimensionality reduction on the Spearman distance.	Robrecht Cannoodt	1	r	baseline	NA	asw_batch	0.836768115919591
openproblems_bmmc_cite_phase1_JE	baseline_mnn	openproblems_bmmc_cite_phase1	ADT	phase1	openproblems	NA	human	43976	13953	GEX	6	46	134	ADT	joint_embedding	MNN	Mutual nearest neighbors correction followed by PCA.	Robrecht Cannoodt	1	r	baseline	NA	asw_batch	0.9019025498980058
