dataset_id	method_id	dataset_orig_id	dataset_subtask	dataset_phase	dataset_source	dataset_geo_id	dataset_organism	dataset_num_cells	dataset_num_features_mod1	dataset_mod1_modality	dataset_num_batches	dataset_num_cell_types	dataset_num_features_mod2	dataset_mod2_modality	method_task	method_label	method_description	method_maintainer	method_num_authors	method_language	method_type	method_doi	metric_id	value
openproblems_bmmc_cite_loocv_s1d1_JE	baseline_lmds	openproblems_bmmc_cite_loocv_s1d1	ADT	s1d1	openproblems	NA	human	43890	13953	GEX	6	45	134	ADT	joint_embedding	LMDS	Landmark MDS dimensionality reduction on the Spearman distance.	Robrecht Cannoodt	1	r	baseline	NA	ari	0.6547718249511189
openproblems_bmmc_cite_loocv_s1d1_JE	baseline_mnn	openproblems_bmmc_cite_loocv_s1d1	ADT	s1d1	openproblems	NA	human	43890	13953	GEX	6	45	134	ADT	joint_embedding	MNN	Mutual nearest neighbors correction followed by PCA.	Robrecht Cannoodt	1	r	baseline	NA	ari	0.8427103074064901
openproblems_bmmc_cite_loocv_s1d1_JE	baseline_pca	openproblems_bmmc_cite_loocv_s1d1	ADT	s1d1	openproblems	NA	human	43890	13953	GEX	6	45	134	ADT	joint_embedding	PCA	PCA dimensionality reduction.	Robrecht Cannoodt	1	r	baseline	NA	ari	0.2363340864144693
openproblems_bmmc_cite_loocv_s1d1_JE	baseline_umap	openproblems_bmmc_cite_loocv_s1d1	ADT	s1d1	openproblems	NA	human	43890	13953	GEX	6	45	134	ADT	joint_embedding	UMAP	UMAP dimensionality reduction on the Euclidean distance.	Robrecht Cannoodt	1	r	baseline	NA	ari	0.3158202710410655
openproblems_bmmc_cite_loocv_s1d1_JE	dummy_random	openproblems_bmmc_cite_loocv_s1d1	ADT	s1d1	openproblems	NA	human	43890	13953	GEX	6	45	134	ADT	joint_embedding	Normal Dist.	Generate a random embedding from a normal distribution.	Alex Tong	2	python	negative_control	NA	ari	8.234276065428763e-6
openproblems_bmmc_cite_loocv_s1d1_JE	dummy_zeros	openproblems_bmmc_cite_loocv_s1d1	ADT	s1d1	openproblems	NA	human	43890	13953	GEX	6	45	134	ADT	joint_embedding	Zeros	Generate an embedding containing only zero values.	Alex Tong	2	python	negative_control	NA	ari	1.0382812681389882e-5
openproblems_bmmc_cite_loocv_s1d2_JE	baseline_lmds	openproblems_bmmc_cite_loocv_s1d2	ADT	s1d2	openproblems	NA	human	43890	13953	GEX	6	45	134	ADT	joint_embedding	LMDS	Landmark MDS dimensionality reduction on the Spearman distance.	Robrecht Cannoodt	1	r	baseline	NA	ari	0.6582179934046358
openproblems_bmmc_cite_loocv_s1d2_JE	baseline_mnn	openproblems_bmmc_cite_loocv_s1d2	ADT	s1d2	openproblems	NA	human	43890	13953	GEX	6	45	134	ADT	joint_embedding	MNN	Mutual nearest neighbors correction followed by PCA.	Robrecht Cannoodt	1	r	baseline	NA	ari	0.8483790554690488
openproblems_bmmc_cite_loocv_s1d2_JE	baseline_pca	openproblems_bmmc_cite_loocv_s1d2	ADT	s1d2	openproblems	NA	human	43890	13953	GEX	6	45	134	ADT	joint_embedding	PCA	PCA dimensionality reduction.	Robrecht Cannoodt	1	r	baseline	NA	ari	0.2649383113836546
openproblems_bmmc_cite_loocv_s1d2_JE	baseline_umap	openproblems_bmmc_cite_loocv_s1d2	ADT	s1d2	openproblems	NA	human	43890	13953	GEX	6	45	134	ADT	joint_embedding	UMAP	UMAP dimensionality reduction on the Euclidean distance.	Robrecht Cannoodt	1	r	baseline	NA	ari	0.2583854405279473
openproblems_bmmc_cite_loocv_s1d2_JE	dummy_random	openproblems_bmmc_cite_loocv_s1d2	ADT	s1d2	openproblems	NA	human	43890	13953	GEX	6	45	134	ADT	joint_embedding	Normal Dist.	Generate a random embedding from a normal distribution.	Alex Tong	2	python	negative_control	NA	ari	-8.622885326798746e-5
openproblems_bmmc_cite_loocv_s1d2_JE	dummy_zeros	openproblems_bmmc_cite_loocv_s1d2	ADT	s1d2	openproblems	NA	human	43890	13953	GEX	6	45	134	ADT	joint_embedding	Zeros	Generate an embedding containing only zero values.	Alex Tong	2	python	negative_control	NA	ari	1.0382812681389882e-5
openproblems_bmmc_cite_loocv_s2d1_JE	baseline_lmds	openproblems_bmmc_cite_loocv_s2d1	ADT	s2d1	openproblems	NA	human	43890	13953	GEX	6	45	134	ADT	joint_embedding	LMDS	Landmark MDS dimensionality reduction on the Spearman distance.	Robrecht Cannoodt	1	r	baseline	NA	ari	0.6784247748670824
openproblems_bmmc_cite_loocv_s2d1_JE	baseline_mnn	openproblems_bmmc_cite_loocv_s2d1	ADT	s2d1	openproblems	NA	human	43890	13953	GEX	6	45	134	ADT	joint_embedding	MNN	Mutual nearest neighbors correction followed by PCA.	Robrecht Cannoodt	1	r	baseline	NA	ari	0.8661516833087328
openproblems_bmmc_cite_loocv_s2d1_JE	baseline_pca	openproblems_bmmc_cite_loocv_s2d1	ADT	s2d1	openproblems	NA	human	43890	13953	GEX	6	45	134	ADT	joint_embedding	PCA	PCA dimensionality reduction.	Robrecht Cannoodt	1	r	baseline	NA	ari	0.2579045547344987
openproblems_bmmc_cite_loocv_s2d1_JE	baseline_umap	openproblems_bmmc_cite_loocv_s2d1	ADT	s2d1	openproblems	NA	human	43890	13953	GEX	6	45	134	ADT	joint_embedding	UMAP	UMAP dimensionality reduction on the Euclidean distance.	Robrecht Cannoodt	1	r	baseline	NA	ari	0.3249417017382158
openproblems_bmmc_cite_loocv_s2d1_JE	dummy_random	openproblems_bmmc_cite_loocv_s2d1	ADT	s2d1	openproblems	NA	human	43890	13953	GEX	6	45	134	ADT	joint_embedding	Normal Dist.	Generate a random embedding from a normal distribution.	Alex Tong	2	python	negative_control	NA	ari	1.1967320746406853e-4
openproblems_bmmc_cite_loocv_s2d1_JE	dummy_zeros	openproblems_bmmc_cite_loocv_s2d1	ADT	s2d1	openproblems	NA	human	43890	13953	GEX	6	45	134	ADT	joint_embedding	Zeros	Generate an embedding containing only zero values.	Alex Tong	2	python	negative_control	NA	ari	1.0382812681389882e-5
openproblems_bmmc_cite_loocv_s2d4_JE	baseline_lmds	openproblems_bmmc_cite_loocv_s2d4	ADT	s2d4	openproblems	NA	human	43890	13953	GEX	6	45	134	ADT	joint_embedding	LMDS	Landmark MDS dimensionality reduction on the Spearman distance.	Robrecht Cannoodt	1	r	baseline	NA	ari	0.6810402131262037
openproblems_bmmc_cite_loocv_s2d4_JE	baseline_mnn	openproblems_bmmc_cite_loocv_s2d4	ADT	s2d4	openproblems	NA	human	43890	13953	GEX	6	45	134	ADT	joint_embedding	MNN	Mutual nearest neighbors correction followed by PCA.	Robrecht Cannoodt	1	r	baseline	NA	ari	0.7820440904069588
openproblems_bmmc_cite_loocv_s2d4_JE	baseline_pca	openproblems_bmmc_cite_loocv_s2d4	ADT	s2d4	openproblems	NA	human	43890	13953	GEX	6	45	134	ADT	joint_embedding	PCA	PCA dimensionality reduction.	Robrecht Cannoodt	1	r	baseline	NA	ari	0.4692792876068295
