dataset_id	method_id	dataset_orig_id	dataset_subtask	dataset_phase	dataset_source	dataset_geo_id	dataset_organism	dataset_num_cells	dataset_num_features_mod1	dataset_mod1_modality	dataset_num_batches	dataset_num_cell_types	dataset_num_features_mod2	dataset_mod2_modality	method_task	method_label	method_description	method_maintainer	method_num_authors	method_language	method_type	method_doi	metric_id	value
openproblems_bmmc_multiome_loocv_s1d2_MM_atac2gex	dummy_solution	openproblems_bmmc_multiome_loocv_s1d2	ATAC2GEX	s1d2	openproblems	NA	human	22463	13431	GEX	5	21	116490	ATAC	match_modality	Solution	Returns the ground-truth pairing.	Robrecht Cannoodt	1	r	positive_control	NA	correct_format	1
openproblems_bmmc_multiome_loocv_s1d2_MM_gex2atac	dummy_solution	openproblems_bmmc_multiome_loocv_s1d2	GEX2ATAC	s1d2	openproblems	NA	human	22463	13431	GEX	5	21	116490	ATAC	match_modality	Solution	Returns the ground-truth pairing.	Robrecht Cannoodt	1	r	positive_control	NA	correct_format	1
openproblems_bmmc_cite_loocv_s1d2_MM_adt2gex	dummy_solution	openproblems_bmmc_cite_loocv_s1d2	ADT2GEX	s1d2	openproblems	NA	human	43890	13953	GEX	6	45	134	ADT	match_modality	Solution	Returns the ground-truth pairing.	Robrecht Cannoodt	1	r	positive_control	NA	correct_format	1
openproblems_bmmc_cite_loocv_s3d6_MM_gex2adt	dummy_solution	openproblems_bmmc_cite_loocv_s3d6	GEX2ADT	s3d6	openproblems	NA	human	43890	13953	GEX	6	45	134	ADT	match_modality	Solution	Returns the ground-truth pairing.	Robrecht Cannoodt	1	r	positive_control	NA	correct_format	1
openproblems_bmmc_cite_loocv_s2d4_MM_gex2adt	dummy_solution	openproblems_bmmc_cite_loocv_s2d4	GEX2ADT	s2d4	openproblems	NA	human	43890	13953	GEX	6	45	134	ADT	match_modality	Solution	Returns the ground-truth pairing.	Robrecht Cannoodt	1	r	positive_control	NA	correct_format	1
openproblems_bmmc_multiome_loocv_s1d1_MM_atac2gex	dummy_solution	openproblems_bmmc_multiome_loocv_s1d1	ATAC2GEX	s1d1	openproblems	NA	human	22463	13431	GEX	5	21	116490	ATAC	match_modality	Solution	Returns the ground-truth pairing.	Robrecht Cannoodt	1	r	positive_control	NA	correct_format	1
openproblems_bmmc_multiome_loocv_s3d6_MM_gex2atac	dummy_solution	openproblems_bmmc_multiome_loocv_s3d6	GEX2ATAC	s3d6	openproblems	NA	human	22463	13431	GEX	5	21	116490	ATAC	match_modality	Solution	Returns the ground-truth pairing.	Robrecht Cannoodt	1	r	positive_control	NA	correct_format	1
openproblems_bmmc_cite_loocv_s3d7_MM_adt2gex	dummy_solution	openproblems_bmmc_cite_loocv_s3d7	ADT2GEX	s3d7	openproblems	NA	human	43890	13953	GEX	6	45	134	ADT	match_modality	Solution	Returns the ground-truth pairing.	Robrecht Cannoodt	1	r	positive_control	NA	correct_format	1
openproblems_bmmc_multiome_loocv_s2d4_MM_atac2gex	dummy_solution	openproblems_bmmc_multiome_loocv_s2d4	ATAC2GEX	s2d4	openproblems	NA	human	22463	13431	GEX	5	21	116490	ATAC	match_modality	Solution	Returns the ground-truth pairing.	Robrecht Cannoodt	1	r	positive_control	NA	correct_format	1
openproblems_bmmc_multiome_loocv_s1d1_MM_gex2atac	dummy_solution	openproblems_bmmc_multiome_loocv_s1d1	GEX2ATAC	s1d1	openproblems	NA	human	22463	13431	GEX	5	21	116490	ATAC	match_modality	Solution	Returns the ground-truth pairing.	Robrecht Cannoodt	1	r	positive_control	NA	correct_format	1
openproblems_bmmc_cite_loocv_s1d1_MM_gex2adt	dummy_solution	openproblems_bmmc_cite_loocv_s1d1	GEX2ADT	s1d1	openproblems	NA	human	43890	13953	GEX	6	45	134	ADT	match_modality	Solution	Returns the ground-truth pairing.	Robrecht Cannoodt	1	r	positive_control	NA	correct_format	1
openproblems_bmmc_multiome_loocv_s2d4_MM_gex2atac	dummy_solution	openproblems_bmmc_multiome_loocv_s2d4	GEX2ATAC	s2d4	openproblems	NA	human	22463	13431	GEX	5	21	116490	ATAC	match_modality	Solution	Returns the ground-truth pairing.	Robrecht Cannoodt	1	r	positive_control	NA	correct_format	1
openproblems_bmmc_cite_loocv_s3d7_MM_gex2adt	dummy_solution	openproblems_bmmc_cite_loocv_s3d7	GEX2ADT	s3d7	openproblems	NA	human	43890	13953	GEX	6	45	134	ADT	match_modality	Solution	Returns the ground-truth pairing.	Robrecht Cannoodt	1	r	positive_control	NA	correct_format	1
openproblems_bmmc_multiome_loocv_s2d1_MM_atac2gex	dummy_solution	openproblems_bmmc_multiome_loocv_s2d1	ATAC2GEX	s2d1	openproblems	NA	human	22463	13431	GEX	5	21	116490	ATAC	match_modality	Solution	Returns the ground-truth pairing.	Robrecht Cannoodt	1	r	positive_control	NA	correct_format	1
openproblems_bmmc_cite_loocv_s3d6_MM_adt2gex	dummy_solution	openproblems_bmmc_cite_loocv_s3d6	ADT2GEX	s3d6	openproblems	NA	human	43890	13953	GEX	6	45	134	ADT	match_modality	Solution	Returns the ground-truth pairing.	Robrecht Cannoodt	1	r	positive_control	NA	correct_format	1
openproblems_bmmc_multiome_loocv_s2d4_MM_atac2gex	dummy_semisolution	openproblems_bmmc_multiome_loocv_s2d4	ATAC2GEX	s2d4	openproblems	NA	human	22463	13431	GEX	5	21	116490	ATAC	match_modality	Semi-solution	Returns the ground-truth pairing.	Robrecht Cannoodt	1	r	positive_control	NA	correct_format	1
openproblems_bmmc_multiome_loocv_s1d2_MM_gex2atac	dummy_semisolution	openproblems_bmmc_multiome_loocv_s1d2	GEX2ATAC	s1d2	openproblems	NA	human	22463	13431	GEX	5	21	116490	ATAC	match_modality	Semi-solution	Returns the ground-truth pairing.	Robrecht Cannoodt	1	r	positive_control	NA	correct_format	1
openproblems_bmmc_cite_loocv_s1d2_MM_adt2gex	dummy_semisolution	openproblems_bmmc_cite_loocv_s1d2	ADT2GEX	s1d2	openproblems	NA	human	43890	13953	GEX	6	45	134	ADT	match_modality	Semi-solution	Returns the ground-truth pairing.	Robrecht Cannoodt	1	r	positive_control	NA	correct_format	1
openproblems_bmmc_multiome_loocv_s1d2_MM_atac2gex	dummy_semisolution	openproblems_bmmc_multiome_loocv_s1d2	ATAC2GEX	s1d2	openproblems	NA	human	22463	13431	GEX	5	21	116490	ATAC	match_modality	Semi-solution	Returns the ground-truth pairing.	Robrecht Cannoodt	1	r	positive_control	NA	correct_format	1
openproblems_bmmc_cite_loocv_s3d6_MM_adt2gex	dummy_semisolution	openproblems_bmmc_cite_loocv_s3d6	ADT2GEX	s3d6	openproblems	NA	human	43890	13953	GEX	6	45	134	ADT	match_modality	Semi-solution	Returns the ground-truth pairing.	Robrecht Cannoodt	1	r	positive_control	NA	correct_format	1
openproblems_bmmc_cite_loocv_s3d7_MM_gex2adt	dummy_semisolution	openproblems_bmmc_cite_loocv_s3d7	GEX2ADT	s3d7	openproblems	NA	human	43890	13953	GEX	6	45	134	ADT	match_modality	Semi-solution	Returns the ground-truth pairing.	Robrecht Cannoodt	1	r	positive_control	NA	correct_format	1
openproblems_bmmc_cite_loocv_s3d7_MM_adt2gex	dummy_constant	openproblems_bmmc_cite_loocv_s3d7	ADT2GEX	s3d7	openproblems	NA	human	43890	13953	GEX	6	45	134	ADT	match_modality	Constant	Returns constant weights between all mod1 profiles and the first 1000 mod2 profiles.	Robrecht Cannoodt	1	r	negative_control	NA	correct_format	1
openproblems_bmmc_cite_loocv_s1d1_MM_gex2adt	dummy_semisolution	openproblems_bmmc_cite_loocv_s1d1	GEX2ADT	s1d1	openproblems	NA	human	43890	13953	GEX	6	45	134	ADT	match_modality	Semi-solution	Returns the ground-truth pairing.	Robrecht Cannoodt	1	r	positive_control	NA	correct_format	1
