dataset_id	method_id	dataset_orig_id	dataset_subtask	dataset_phase	dataset_source	dataset_geo_id	dataset_organism	dataset_num_cells	dataset_num_features_mod1	dataset_mod1_modality	dataset_num_batches	dataset_num_cell_types	dataset_num_features_mod2	dataset_mod2_modality	method_task	method_label	method_description	method_maintainer	method_num_authors	method_language	method_type	method_doi	metric_id	value
openproblems_bmmc_cite_phase2_MM_adt2gex	baseline_dr_knnr_cbf	openproblems_bmmc_cite_phase2	ADT2GEX	phase2	openproblems	NA	human	81241	13953	GEX	12	45	134	ADT	match_modality	LMDS+KNNR+CBF	Perform LMDS+Pearson DR, predict embedding with KNN regression, and match cells with KNN.	Robrecht Cannoodt	1	r	baseline	NA	correct_format	1
openproblems_bmmc_cite_phase2_MM_adt2gex	baseline_dr_knnr_knn	openproblems_bmmc_cite_phase2	ADT2GEX	phase2	openproblems	NA	human	81241	13953	GEX	12	45	134	ADT	match_modality	LMDS+KNNR+KNN	Perform LMDS+Pearson DR, predict embedding with KNN regression, and match cells with KNN.	Robrecht Cannoodt	1	r	baseline	NA	correct_format	1
openproblems_bmmc_cite_phase2_MM_adt2gex	baseline_linear_knn	openproblems_bmmc_cite_phase2	ADT2GEX	phase2	openproblems	NA	human	81241	13953	GEX	12	45	134	ADT	match_modality	LinearRegression+KNN	Perform DR with Linear Regression, and match cells with kNN	Daniel Burkhardt	1	python	baseline	NA	correct_format	1
openproblems_bmmc_cite_phase2_MM_adt2gex	baseline_procrustes_knn	openproblems_bmmc_cite_phase2	ADT2GEX	phase2	openproblems	NA	human	81241	13953	GEX	12	45	134	ADT	match_modality	Procrustes+KNN	Perform DR with Procrustes, and match cells with a GA to minimise pairwise distances.	Alex Tong	2	python	baseline	NA	correct_format	1
openproblems_bmmc_cite_phase2_MM_adt2gex	dummy_constant	openproblems_bmmc_cite_phase2	ADT2GEX	phase2	openproblems	NA	human	81241	13953	GEX	12	45	134	ADT	match_modality	Constant	Returns constant weights between all mod1 profiles and the first 1000 mod2 profiles.	Robrecht Cannoodt	1	r	negative_control	NA	correct_format	1
openproblems_bmmc_cite_phase2_MM_adt2gex	dummy_random	openproblems_bmmc_cite_phase2	ADT2GEX	phase2	openproblems	NA	human	81241	13953	GEX	12	45	134	ADT	match_modality	Random Pairing	Generates random pairings weights drawn from a uniform distribution.	Alex Tong	1	python	negative_control	NA	correct_format	1
openproblems_bmmc_cite_phase2_MM_adt2gex	dummy_semisolution	openproblems_bmmc_cite_phase2	ADT2GEX	phase2	openproblems	NA	human	81241	13953	GEX	12	45	134	ADT	match_modality	Semi-solution	Returns the ground-truth pairing.	Robrecht Cannoodt	1	r	positive_control	NA	correct_format	1
openproblems_bmmc_cite_phase2_MM_adt2gex	dummy_solution	openproblems_bmmc_cite_phase2	ADT2GEX	phase2	openproblems	NA	human	81241	13953	GEX	12	45	134	ADT	match_modality	Solution	Returns the ground-truth pairing.	Robrecht Cannoodt	1	r	positive_control	NA	correct_format	1
openproblems_bmmc_cite_phase2_MM_gex2adt	baseline_dr_knnr_cbf	openproblems_bmmc_cite_phase2	GEX2ADT	phase2	openproblems	NA	human	81241	13953	GEX	12	45	134	ADT	match_modality	LMDS+KNNR+CBF	Perform LMDS+Pearson DR, predict embedding with KNN regression, and match cells with KNN.	Robrecht Cannoodt	1	r	baseline	NA	correct_format	1
openproblems_bmmc_cite_phase2_MM_gex2adt	baseline_dr_knnr_knn	openproblems_bmmc_cite_phase2	GEX2ADT	phase2	openproblems	NA	human	81241	13953	GEX	12	45	134	ADT	match_modality	LMDS+KNNR+KNN	Perform LMDS+Pearson DR, predict embedding with KNN regression, and match cells with KNN.	Robrecht Cannoodt	1	r	baseline	NA	correct_format	1
openproblems_bmmc_cite_phase2_MM_gex2adt	baseline_linear_knn	openproblems_bmmc_cite_phase2	GEX2ADT	phase2	openproblems	NA	human	81241	13953	GEX	12	45	134	ADT	match_modality	LinearRegression+KNN	Perform DR with Linear Regression, and match cells with kNN	Daniel Burkhardt	1	python	baseline	NA	correct_format	1
openproblems_bmmc_cite_phase2_MM_gex2adt	baseline_procrustes_knn	openproblems_bmmc_cite_phase2	GEX2ADT	phase2	openproblems	NA	human	81241	13953	GEX	12	45	134	ADT	match_modality	Procrustes+KNN	Perform DR with Procrustes, and match cells with a GA to minimise pairwise distances.	Alex Tong	2	python	baseline	NA	correct_format	1
