method_id	metric_id	mean	var	method_task	method_label	method_description	method_maintainer	method_num_authors	method_language	method_type	method_doi
baseline_dr_knnr_cbf	correct_format	0.75	0.25	match_modality	LMDS+KNNR+CBF	Perform LMDS+Pearson DR, predict embedding with KNN regression, and match cells with KNN.	Robrecht Cannoodt	1	r	baseline	NA
baseline_dr_knnr_cbf	finished	0.75	0.25	match_modality	LMDS+KNNR+CBF	Perform LMDS+Pearson DR, predict embedding with KNN regression, and match cells with KNN.	Robrecht Cannoodt	1	r	baseline	NA
baseline_dr_knnr_cbf	format_check	0.75	0.25	match_modality	LMDS+KNNR+CBF	Perform LMDS+Pearson DR, predict embedding with KNN regression, and match cells with KNN.	Robrecht Cannoodt	1	r	baseline	NA
baseline_dr_knnr_cbf	match_probability	4.193293620009951e-4	1.075403073985303e-7	match_modality	LMDS+KNNR+CBF	Perform LMDS+Pearson DR, predict embedding with KNN regression, and match cells with KNN.	Robrecht Cannoodt	1	r	baseline	NA
baseline_dr_knnr_cbf	pairing_aupr	5.3566766403334576e-5	1.4582560389111373e-9	match_modality	LMDS+KNNR+CBF	Perform LMDS+Pearson DR, predict embedding with KNN regression, and match cells with KNN.	Robrecht Cannoodt	1	r	baseline	NA
baseline_dr_knnr_cbf	pairing_auroc	0.37896917411018194	0.06383728232457953	match_modality	LMDS+KNNR+CBF	Perform LMDS+Pearson DR, predict embedding with KNN regression, and match cells with KNN.	Robrecht Cannoodt	1	r	baseline	NA
baseline_dr_knnr_knn	correct_format	1	0	match_modality	LMDS+KNNR+KNN	Perform LMDS+Pearson DR, predict embedding with KNN regression, and match cells with KNN.	Robrecht Cannoodt	1	r	baseline	NA
baseline_dr_knnr_knn	finished	1	0	match_modality	LMDS+KNNR+KNN	Perform LMDS+Pearson DR, predict embedding with KNN regression, and match cells with KNN.	Robrecht Cannoodt	1	r	baseline	NA
baseline_dr_knnr_knn	format_check	1	0	match_modality	LMDS+KNNR+KNN	Perform LMDS+Pearson DR, predict embedding with KNN regression, and match cells with KNN.	Robrecht Cannoodt	1	r	baseline	NA
baseline_dr_knnr_knn	match_probability	5.9850222762282475e-5	9.838531733476625e-11	match_modality	LMDS+KNNR+KNN	Perform LMDS+Pearson DR, predict embedding with KNN regression, and match cells with KNN.	Robrecht Cannoodt	1	r	baseline	NA
