method_id	metric_id	mean	var	method_task	method_label	method_description	method_maintainer	method_num_authors	method_language	method_type	method_doi
baseline_knnr_py	correct_format	1	0	predict_modality	KNNR (Py)	K-nearest neighbor regression in Python.	Bastian Rieck	1	python	baseline	NA
baseline_knnr_py	finished	1	0	predict_modality	KNNR (Py)	K-nearest neighbor regression in Python.	Bastian Rieck	1	python	baseline	NA
baseline_knnr_py	format_check	1	0	predict_modality	KNNR (Py)	K-nearest neighbor regression in Python.	Bastian Rieck	1	python	baseline	NA
baseline_knnr_py	mae	0.1510153328999877	0.008699928146287268	predict_modality	KNNR (Py)	K-nearest neighbor regression in Python.	Bastian Rieck	1	python	baseline	NA
baseline_knnr_py	mean_pearson_per_cell	0.5894170419468328	0.06983367945895053	predict_modality	KNNR (Py)	K-nearest neighbor regression in Python.	Bastian Rieck	1	python	baseline	NA
baseline_knnr_py	mean_pearson_per_gene	0.2519247358013226	0.06778857230922945	predict_modality	KNNR (Py)	K-nearest neighbor regression in Python.	Bastian Rieck	1	python	baseline	NA
baseline_knnr_py	mean_spearman_per_cell	0.43521668282372583	0.08479602588534664	predict_modality	KNNR (Py)	K-nearest neighbor regression in Python.	Bastian Rieck	1	python	baseline	NA
baseline_knnr_py	mean_spearman_per_gene	0.20592251766240116	0.03471036450645109	predict_modality	KNNR (Py)	K-nearest neighbor regression in Python.	Bastian Rieck	1	python	baseline	NA
baseline_knnr_py	overall_pearson	0.5838914338851835	0.06525817896749724	predict_modality	KNNR (Py)	K-nearest neighbor regression in Python.	Bastian Rieck	1	python	baseline	NA
baseline_knnr_py	overall_spearman	0.4409379483311929	0.08129143705713576	predict_modality	KNNR (Py)	K-nearest neighbor regression in Python.	Bastian Rieck	1	python	baseline	NA
baseline_knnr_py	rmse	0.29382767528295517	0.011776587231725921	predict_modality	KNNR (Py)	K-nearest neighbor regression in Python.	Bastian Rieck	1	python	baseline	NA
baseline_knnr_r	correct_format	1	0	predict_modality	KNNR (R)	K-nearest neighbor regression in R.	Robrecht Cannoodt	1	r	baseline	NA
baseline_knnr_r	finished	1	0	predict_modality	KNNR (R)	K-nearest neighbor regression in R.	Robrecht Cannoodt	1	r	baseline	NA
baseline_knnr_r	format_check	1	0	predict_modality	KNNR (R)	K-nearest neighbor regression in R.	Robrecht Cannoodt	1	r	baseline	NA
baseline_knnr_r	mae	0.15582916885614395	0.010617416548136083	predict_modality	KNNR (R)	K-nearest neighbor regression in R.	Robrecht Cannoodt	1	r	baseline	NA
baseline_knnr_r	mean_pearson_per_cell	0.5517776027044847	0.08405484238712033	predict_modality	KNNR (R)	K-nearest neighbor regression in R.	Robrecht Cannoodt	1	r	baseline	NA
baseline_knnr_r	mean_pearson_per_gene	0.20014411388211223	0.07080318118416958	predict_modality	KNNR (R)	K-nearest neighbor regression in R.	Robrecht Cannoodt	1	r	baseline	NA
baseline_knnr_r	mean_spearman_per_cell	0.420487328606395	0.08761759375356154	predict_modality	KNNR (R)	K-nearest neighbor regression in R.	Robrecht Cannoodt	1	r	baseline	NA
baseline_knnr_r	mean_spearman_per_gene	0.15997214478865693	0.036373211087008625	predict_modality	KNNR (R)	K-nearest neighbor regression in R.	Robrecht Cannoodt	1	r	baseline	NA
baseline_knnr_r	overall_pearson	0.5454995268619492	0.07933540196467541	predict_modality	KNNR (R)	K-nearest neighbor regression in R.	Robrecht Cannoodt	1	r	baseline	NA
baseline_knnr_r	overall_spearman	0.42158292579470147	0.08554709461922579	predict_modality	KNNR (R)	K-nearest neighbor regression in R.	Robrecht Cannoodt	1	r	baseline	NA
baseline_knnr_r	rmse	0.30586767196655273	0.014255918086028885	predict_modality	KNNR (R)	K-nearest neighbor regression in R.	Robrecht Cannoodt	1	r	baseline	NA
baseline_lm	correct_format	1	0	predict_modality	Linear Model	Linear model regression.	Robrecht Cannoodt	1	r	baseline	NA
baseline_lm	finished	1	0	predict_modality	Linear Model	Linear model regression.	Robrecht Cannoodt	1	r	baseline	NA
baseline_lm	format_check	1	0	predict_modality	Linear Model	Linear model regression.	Robrecht Cannoodt	1	r	baseline	NA
baseline_lm	mae	0.15945227071642876	0.012603443780496734	predict_modality	Linear Model	Linear model regression.	Robrecht Cannoodt	1	r	baseline	NA
baseline_lm	mean_pearson_per_cell	0.5690177505855206	0.06091140383295546	predict_modality	Linear Model	Linear model regression.	Robrecht Cannoodt	1	r	baseline	NA
baseline_lm	mean_pearson_per_gene	0.2213272341162576	0.04813060638442872	predict_modality	Linear Model	Linear model regression.	Robrecht Cannoodt	1	r	baseline	NA
baseline_lm	mean_spearman_per_cell	0.41619538698133063	0.07742123447018019	predict_modality	Linear Model	Linear model regression.	Robrecht Cannoodt	1	r	baseline	NA
baseline_lm	mean_spearman_per_gene	0.17880756828743194	0.02408054292642483	predict_modality	Linear Model	Linear model regression.	Robrecht Cannoodt	1	r	baseline	NA
baseline_lm	overall_pearson	0.5581858234133817	0.05563362515478151	predict_modality	Linear Model	Linear model regression.	Robrecht Cannoodt	1	r	baseline	NA
baseline_lm	overall_spearman	0.41693842725841845	0.07302038737500241	predict_modality	Linear Model	Linear model regression.	Robrecht Cannoodt	1	r	baseline	NA
baseline_lm	rmse	0.3178052641451359	0.017152523463053387	predict_modality	Linear Model	Linear model regression.	Robrecht Cannoodt	1	r	baseline	NA
