dataset_id	method_id	dataset_loader	dataset_group	method_group	metric_id	value
10x_5k_pbmc_protein_v3_JE	baseline_lmds	10x	JE	baseline	ari	0.41586374954668187
10x_5k_pbmc_protein_v3_JE	baseline_mnn	10x	JE	baseline	ari	0.616923388157409
10x_5k_pbmc_protein_v3_JE	baseline_pca	10x	JE	baseline	ari	0.4259166193079727
10x_5k_pbmc_protein_v3_JE	baseline_umap	10x	JE	baseline	ari	0.33694913105788377
10x_5k_pbmc_protein_v3_JE	dummy_random	10x	JE	dummy	ari	9.413991960008364e-5
10x_5k_pbmc_protein_v3_JE	dummy_solution	10x	JE	dummy	ari	0.7310888073287336
10x_5k_pbmc_protein_v3_JE	dummy_zeros	10x	JE	dummy	ari	0
10x_5k_pbmc_protein_v3_nextgem_JE	baseline_lmds	10x	JE	baseline	ari	0.4612105411015684
10x_5k_pbmc_protein_v3_nextgem_JE	baseline_mnn	10x	JE	baseline	ari	0.6910203044406423
10x_5k_pbmc_protein_v3_nextgem_JE	baseline_pca	10x	JE	baseline	ari	0.43803448946787304
10x_5k_pbmc_protein_v3_nextgem_JE	baseline_umap	10x	JE	baseline	ari	0.3901179240538627
10x_5k_pbmc_protein_v3_nextgem_JE	dummy_random	10x	JE	dummy	ari	-1.989259428064549e-5
10x_5k_pbmc_protein_v3_nextgem_JE	dummy_solution	10x	JE	dummy	ari	0.2179609228759619
10x_5k_pbmc_protein_v3_nextgem_JE	dummy_zeros	10x	JE	dummy	ari	0
10x_e18_mouse_brain_fresh_5k_JE	baseline_lmds	10x	JE	baseline	ari	0.17126879199372083
10x_e18_mouse_brain_fresh_5k_JE	baseline_mnn	10x	JE	baseline	ari	0.1536013030075493
10x_e18_mouse_brain_fresh_5k_JE	baseline_pca	10x	JE	baseline	ari	0
10x_e18_mouse_brain_fresh_5k_JE	baseline_umap	10x	JE	baseline	ari	0
10x_e18_mouse_brain_fresh_5k_JE	dummy_random	10x	JE	dummy	ari	-2.0214835858733986e-4
10x_e18_mouse_brain_fresh_5k_JE	dummy_solution	10x	JE	dummy	ari	0.7801342526251391
