method_id	metric_id	mean	sd	var	method_task	method_label	method_description	method_maintainer	method_num_authors	method_language	method_type	method_doi
baseline_dr_knnr_knn	celltype_aupr	0.1898410116558063	0.06144383334200319	0.003775344655759863	match_modality	LMDS+KNNR+KNN	Perform LMDS+Pearson DR, predict embedding with KNN regression, and match cells with KNN.	Robrecht Cannoodt	1	r	baseline	NA
baseline_dr_knnr_knn	celltype_auroc	0.503166904850001	0.0036314405654170262	1.3187360580156333e-5	match_modality	LMDS+KNNR+KNN	Perform LMDS+Pearson DR, predict embedding with KNN regression, and match cells with KNN.	Robrecht Cannoodt	1	r	baseline	NA
baseline_dr_knnr_knn	correct_format	0	0	0	match_modality	LMDS+KNNR+KNN	Perform LMDS+Pearson DR, predict embedding with KNN regression, and match cells with KNN.	Robrecht Cannoodt	1	r	baseline	NA
baseline_dr_knnr_knn	finished	1	0	0	match_modality	LMDS+KNNR+KNN	Perform LMDS+Pearson DR, predict embedding with KNN regression, and match cells with KNN.	Robrecht Cannoodt	1	r	baseline	NA
baseline_dr_knnr_knn	format_check	0.5	0	0	match_modality	LMDS+KNNR+KNN	Perform LMDS+Pearson DR, predict embedding with KNN regression, and match cells with KNN.	Robrecht Cannoodt	1	r	baseline	NA
baseline_dr_knnr_knn	match_probability_mod1	0.0010156682521673286	0.0012206373424769972	1.4899555218493062e-6	match_modality	LMDS+KNNR+KNN	Perform LMDS+Pearson DR, predict embedding with KNN regression, and match cells with KNN.	Robrecht Cannoodt	1	r	baseline	NA
baseline_dr_knnr_knn	match_probability_mod2	0.0010061865741303217	0.0012274778930705928	1.5067019779770218e-6	match_modality	LMDS+KNNR+KNN	Perform LMDS+Pearson DR, predict embedding with KNN regression, and match cells with KNN.	Robrecht Cannoodt	1	r	baseline	NA
baseline_dr_knnr_knn	pairing_aupr	0.0010529164556382592	0.0012934639342681424	1.6730489492524212e-6	match_modality	LMDS+KNNR+KNN	Perform LMDS+Pearson DR, predict embedding with KNN regression, and match cells with KNN.	Robrecht Cannoodt	1	r	baseline	NA
baseline_dr_knnr_knn	pairing_auroc	0.5004746302415697	0.003548957980970979	1.2595102750697608e-5	match_modality	LMDS+KNNR+KNN	Perform LMDS+Pearson DR, predict embedding with KNN regression, and match cells with KNN.	Robrecht Cannoodt	1	r	baseline	NA
baseline_dr_nn_knn	celltype_aupr	0.18980444575750385	0.0615212210084841	0.003784860634374746	match_modality	LMDS+NN+KNN	Perform LMDS+Pearson DR, predict embedding with Keras NN, and match cells with KNN.	Robrecht Cannoodt	1	r	baseline	NA
baseline_dr_nn_knn	celltype_auroc	0.502896600375028	0.0038304948730934424	1.4672690972795148e-5	match_modality	LMDS+NN+KNN	Perform LMDS+Pearson DR, predict embedding with Keras NN, and match cells with KNN.	Robrecht Cannoodt	1	r	baseline	NA
baseline_dr_nn_knn	correct_format	0	0	0	match_modality	LMDS+NN+KNN	Perform LMDS+Pearson DR, predict embedding with Keras NN, and match cells with KNN.	Robrecht Cannoodt	1	r	baseline	NA
baseline_dr_nn_knn	finished	1	0	0	match_modality	LMDS+NN+KNN	Perform LMDS+Pearson DR, predict embedding with Keras NN, and match cells with KNN.	Robrecht Cannoodt	1	r	baseline	NA
baseline_dr_nn_knn	format_check	0.5	0	0	match_modality	LMDS+NN+KNN	Perform LMDS+Pearson DR, predict embedding with Keras NN, and match cells with KNN.	Robrecht Cannoodt	1	r	baseline	NA
baseline_dr_nn_knn	match_probability_mod1	0.0010155535684543957	0.0012222383177857704	1.4938665054637897e-6	match_modality	LMDS+NN+KNN	Perform LMDS+Pearson DR, predict embedding with Keras NN, and match cells with KNN.	Robrecht Cannoodt	1	r	baseline	NA
baseline_dr_nn_knn	match_probability_mod2	9.990884147295738e-4	0.00123355406091661	1.52165562120386e-6	match_modality	LMDS+NN+KNN	Perform LMDS+Pearson DR, predict embedding with Keras NN, and match cells with KNN.	Robrecht Cannoodt	1	r	baseline	NA
baseline_dr_nn_knn	pairing_aupr	0.0010379616786570058	0.0012622417638853871	1.5932542704964934e-6	match_modality	LMDS+NN+KNN	Perform LMDS+Pearson DR, predict embedding with Keras NN, and match cells with KNN.	Robrecht Cannoodt	1	r	baseline	NA
baseline_dr_nn_knn	pairing_auroc	0.5010004567596876	0.00681591690301564	4.6456723228814304e-5	match_modality	LMDS+NN+KNN	Perform LMDS+Pearson DR, predict embedding with Keras NN, and match cells with KNN.	Robrecht Cannoodt	1	r	baseline	NA
baseline_mnn_nn_ga	celltype_aupr	0.09215502622027119	0.11847154572965214	0.014035507147573057	match_modality	MNN+NN+GA	Perform DR with MNN, predict embedding with Keras NN, and match cells with a GA to minimise pairwise distances.	Robrecht Cannoodt	1	r	baseline	NA
baseline_mnn_nn_ga	celltype_auroc	0.20556349511548433	0.2528733260987832	0.06394491905226155	match_modality	MNN+NN+GA	Perform DR with MNN, predict embedding with Keras NN, and match cells with a GA to minimise pairwise distances.	Robrecht Cannoodt	1	r	baseline	NA
baseline_mnn_nn_ga	correct_format	0	0	0	match_modality	MNN+NN+GA	Perform DR with MNN, predict embedding with Keras NN, and match cells with a GA to minimise pairwise distances.	Robrecht Cannoodt	1	r	baseline	NA
baseline_mnn_nn_ga	finished	0.4090909090909091	0.5032362797401965	0.2532467532467532	match_modality	MNN+NN+GA	Perform DR with MNN, predict embedding with Keras NN, and match cells with a GA to minimise pairwise distances.	Robrecht Cannoodt	1	r	baseline	NA
baseline_mnn_nn_ga	format_check	0.20454545454545456	0.25161813987009823	0.0633116883116883	match_modality	MNN+NN+GA	Perform DR with MNN, predict embedding with Keras NN, and match cells with a GA to minimise pairwise distances.	Robrecht Cannoodt	1	r	baseline	NA
baseline_mnn_nn_ga	match_probability_mod1	0.0013568069494999946	0.0026334124626157343	6.934861198259867e-6	match_modality	MNN+NN+GA	Perform DR with MNN, predict embedding with Keras NN, and match cells with a GA to minimise pairwise distances.	Robrecht Cannoodt	1	r	baseline	NA
baseline_mnn_nn_ga	match_probability_mod2	0.0013568069494999946	0.0026334124626157343	6.934861198259867e-6	match_modality	MNN+NN+GA	Perform DR with MNN, predict embedding with Keras NN, and match cells with a GA to minimise pairwise distances.	Robrecht Cannoodt	1	r	baseline	NA
baseline_mnn_nn_ga	pairing_aupr	9.301703257978764e-4	0.0013640377588195647	1.8605990074855012e-6	match_modality	MNN+NN+GA	Perform DR with MNN, predict embedding with Keras NN, and match cells with a GA to minimise pairwise distances.	Robrecht Cannoodt	1	r	baseline	NA
baseline_mnn_nn_ga	pairing_auroc	0.20565975935382788	0.2529936670665505	0.06400579557578061	match_modality	MNN+NN+GA	Perform DR with MNN, predict embedding with Keras NN, and match cells with a GA to minimise pairwise distances.	Robrecht Cannoodt	1	r	baseline	NA
baseline_procrustes_knn	celltype_aupr	0.18983968024299844	0.06160293862478836	0.0037949220472094417	match_modality	Procrustes+KNN	Perform DR with Procrustes, and match cells with a GA to minimise pairwise distances.	Alex Tong	2	python	baseline	NA
baseline_procrustes_knn	celltype_auroc	0.5030269029122626	0.004870191914655519	2.3718769285575995e-5	match_modality	Procrustes+KNN	Perform DR with Procrustes, and match cells with a GA to minimise pairwise distances.	Alex Tong	2	python	baseline	NA
baseline_procrustes_knn	correct_format	0	0	0	match_modality	Procrustes+KNN	Perform DR with Procrustes, and match cells with a GA to minimise pairwise distances.	Alex Tong	2	python	baseline	NA
baseline_procrustes_knn	finished	1	0	0	match_modality	Procrustes+KNN	Perform DR with Procrustes, and match cells with a GA to minimise pairwise distances.	Alex Tong	2	python	baseline	NA
baseline_procrustes_knn	format_check	0.5	0	0	match_modality	Procrustes+KNN	Perform DR with Procrustes, and match cells with a GA to minimise pairwise distances.	Alex Tong	2	python	baseline	NA
baseline_procrustes_knn	match_probability_mod1	0.001014282375947331	0.0012214197617550337	1.4918662344057233e-6	match_modality	Procrustes+KNN	Perform DR with Procrustes, and match cells with a GA to minimise pairwise distances.	Alex Tong	2	python	baseline	NA
baseline_procrustes_knn	match_probability_mod2	0.0010145895362953861	0.0012216707711131369	1.4924794729921667e-6	match_modality	Procrustes+KNN	Perform DR with Procrustes, and match cells with a GA to minimise pairwise distances.	Alex Tong	2	python	baseline	NA
baseline_procrustes_knn	pairing_aupr	0.0010297056686124199	0.001248291528409145	1.5582317398980392e-6	match_modality	Procrustes+KNN	Perform DR with Procrustes, and match cells with a GA to minimise pairwise distances.	Alex Tong	2	python	baseline	NA
baseline_procrustes_knn	pairing_auroc	0.49980457150145824	0.004093752482563344	1.6758809388493543e-5	match_modality	Procrustes+KNN	Perform DR with Procrustes, and match cells with a GA to minimise pairwise distances.	Alex Tong	2	python	baseline	NA
dummy_constant	celltype_aupr	0.18965036115262343	0.06195770804659665	0.003838757586387307	match_modality	Constant	Returns constant weights between all mod1 profiles and the first 1000 mod2 profiles.	Robrecht Cannoodt	1	r	negative_control	NA
