dataset_id	method_id	dataset_loader	dataset_group	method_group	metric_id	value
10x_5k_pbmc_protein_v3_JE	baseline_lmds	10x	JE	baseline	ari	0.4536820204202584
10x_5k_pbmc_protein_v3_JE	baseline_mnn	10x	JE	baseline	ari	0.6174145471142498
10x_5k_pbmc_protein_v3_JE	baseline_pca	10x	JE	baseline	ari	0.4259166193079727
10x_5k_pbmc_protein_v3_JE	baseline_umap	10x	JE	baseline	ari	0.31364956415286016
10x_5k_pbmc_protein_v3_JE	dummy_random	10x	JE	dummy	ari	-2.54221881595736e-4
10x_5k_pbmc_protein_v3_JE	dummy_solution	10x	JE	dummy	ari	0
10x_5k_pbmc_protein_v3_JE	dummy_zeros	10x	JE	dummy	ari	0
10x_5k_pbmc_protein_v3_nextgem_JE	baseline_lmds	10x	JE	baseline	ari	0.39001160046376004
10x_5k_pbmc_protein_v3_nextgem_JE	baseline_mnn	10x	JE	baseline	ari	0.6910203044406423
10x_5k_pbmc_protein_v3_nextgem_JE	baseline_pca	10x	JE	baseline	ari	0.43803448946787304
10x_5k_pbmc_protein_v3_nextgem_JE	baseline_umap	10x	JE	baseline	ari	0.3617360788408074
10x_5k_pbmc_protein_v3_nextgem_JE	dummy_random	10x	JE	dummy	ari	8.016290369877947e-5
10x_5k_pbmc_protein_v3_nextgem_JE	dummy_solution	10x	JE	dummy	ari	0
10x_5k_pbmc_protein_v3_nextgem_JE	dummy_zeros	10x	JE	dummy	ari	0
10x_e18_mouse_brain_fresh_5k_JE	baseline_lmds	10x	JE	baseline	ari	0.15431278105581012
10x_e18_mouse_brain_fresh_5k_JE	baseline_mnn	10x	JE	baseline	ari	0.15539551467109017
10x_e18_mouse_brain_fresh_5k_JE	baseline_pca	10x	JE	baseline	ari	0
10x_e18_mouse_brain_fresh_5k_JE	baseline_umap	10x	JE	baseline	ari	0
10x_e18_mouse_brain_fresh_5k_JE	dummy_random	10x	JE	dummy	ari	-2.9274798901999393e-4
10x_e18_mouse_brain_fresh_5k_JE	dummy_solution	10x	JE	dummy	ari	0
10x_e18_mouse_brain_fresh_5k_JE	dummy_zeros	10x	JE	dummy	ari	0
10x_human_brain_3k_JE	baseline_lmds	10x	JE	baseline	ari	0.41846129517112823
10x_human_brain_3k_JE	baseline_mnn	10x	JE	baseline	ari	0.4812466346368005
10x_human_brain_3k_JE	baseline_pca	10x	JE	baseline	ari	0
10x_human_brain_3k_JE	baseline_umap	10x	JE	baseline	ari	0
10x_human_brain_3k_JE	dummy_random	10x	JE	dummy	ari	-4.0659268057186736e-4
10x_human_brain_3k_JE	dummy_solution	10x	JE	dummy	ari	0.7277314845372435
10x_human_brain_3k_JE	dummy_zeros	10x	JE	dummy	ari	0
10x_lymph_node_lymphoma_14k_JE	baseline_lmds	10x	JE	baseline	ari	0.23164552025487553
