dataset_id	method_id	dataset_loader	dataset_group	method_group	metric_id	value
10x_5k_pbmc_protein_v3_MM	baseline_dr_knnr_knn	10x	MM	baseline	celltype_aupr	0.15377603363594972
10x_5k_pbmc_protein_v3_MM	baseline_dr_nn_knn	10x	MM	baseline	celltype_aupr	0.15421537662041374
10x_5k_pbmc_protein_v3_MM	baseline_mnn_nn_ga	10x	MM	baseline	celltype_aupr	0
10x_5k_pbmc_protein_v3_MM	baseline_procrustes_knn	10x	MM	baseline	celltype_aupr	0.15385326815157896
10x_5k_pbmc_protein_v3_MM	dummy_constant	10x	MM	dummy	celltype_aupr	0.15318547637434676
10x_5k_pbmc_protein_v3_MM	dummy_random	10x	MM	dummy	celltype_aupr	0.1534929986082716
10x_5k_pbmc_protein_v3_MM	dummy_solution	10x	MM	dummy	celltype_aupr	0.15604811765683735
10x_5k_pbmc_protein_v3_MM	dummy_zeros	10x	MM	dummy	celltype_aupr	0
10x_5k_pbmc_protein_v3_nextgem_MM	baseline_dr_knnr_knn	10x	MM	baseline	celltype_aupr	0.15584582437440986
10x_5k_pbmc_protein_v3_nextgem_MM	baseline_dr_nn_knn	10x	MM	baseline	celltype_aupr	0.15565535023779375
10x_5k_pbmc_protein_v3_nextgem_MM	baseline_mnn_nn_ga	10x	MM	baseline	celltype_aupr	0
10x_5k_pbmc_protein_v3_nextgem_MM	baseline_procrustes_knn	10x	MM	baseline	celltype_aupr	0.15251475265540648
10x_5k_pbmc_protein_v3_nextgem_MM	dummy_constant	10x	MM	dummy	celltype_aupr	0.15820319508202374
10x_5k_pbmc_protein_v3_nextgem_MM	dummy_random	10x	MM	dummy	celltype_aupr	0.15579999849796877
10x_5k_pbmc_protein_v3_nextgem_MM	dummy_solution	10x	MM	dummy	celltype_aupr	0.15824513569839382
10x_5k_pbmc_protein_v3_nextgem_MM	dummy_zeros	10x	MM	dummy	celltype_aupr	0
10x_e18_mouse_brain_fresh_5k_MM	baseline_dr_knnr_knn	10x	MM	baseline	celltype_aupr	0.16296369903284358
10x_e18_mouse_brain_fresh_5k_MM	baseline_dr_nn_knn	10x	MM	baseline	celltype_aupr	0.16360553247795906
10x_e18_mouse_brain_fresh_5k_MM	baseline_mnn_nn_ga	10x	MM	baseline	celltype_aupr	0.16339071871334454
10x_e18_mouse_brain_fresh_5k_MM	baseline_procrustes_knn	10x	MM	baseline	celltype_aupr	0.16391246826970018
10x_e18_mouse_brain_fresh_5k_MM	dummy_constant	10x	MM	dummy	celltype_aupr	0.16261737222521333
10x_e18_mouse_brain_fresh_5k_MM	dummy_random	10x	MM	dummy	celltype_aupr	0.16231066191539867
10x_e18_mouse_brain_fresh_5k_MM	dummy_solution	10x	MM	dummy	celltype_aupr	0.1650229347096115
10x_e18_mouse_brain_fresh_5k_MM	dummy_zeros	10x	MM	dummy	celltype_aupr	0
10x_human_brain_3k_MM	baseline_dr_knnr_knn	10x	MM	baseline	celltype_aupr	0.14945294954668498
10x_human_brain_3k_MM	baseline_dr_nn_knn	10x	MM	baseline	celltype_aupr	0.1486788622860331
10x_human_brain_3k_MM	baseline_mnn_nn_ga	10x	MM	baseline	celltype_aupr	0.1503112203645287
10x_human_brain_3k_MM	baseline_procrustes_knn	10x	MM	baseline	celltype_aupr	0.14844966311648022
10x_human_brain_3k_MM	dummy_constant	10x	MM	dummy	celltype_aupr	0.14898715556773823
10x_human_brain_3k_MM	dummy_random	10x	MM	dummy	celltype_aupr	0.14840533298047376
10x_human_brain_3k_MM	dummy_solution	10x	MM	dummy	celltype_aupr	0.15175058297677424
10x_human_brain_3k_MM	dummy_zeros	10x	MM	dummy	celltype_aupr	0
10x_lymph_node_lymphoma_14k_MM	baseline_dr_knnr_knn	10x	MM	baseline	celltype_aupr	0.17184190964326262
10x_lymph_node_lymphoma_14k_MM	baseline_dr_nn_knn	10x	MM	baseline	celltype_aupr	0.171828862716211
10x_lymph_node_lymphoma_14k_MM	baseline_mnn_nn_ga	10x	MM	baseline	celltype_aupr	0
10x_lymph_node_lymphoma_14k_MM	baseline_procrustes_knn	10x	MM	baseline	celltype_aupr	0.17043262573861284
10x_lymph_node_lymphoma_14k_MM	dummy_constant	10x	MM	dummy	celltype_aupr	0.1710654723283369
